0	Generalidades.
003	Escritura. Sistemas de escritura. Signos y símbolos. Representaciones gráficas en general.
004	Ciencia y tecnología de los ordenadores. Informática.
004.3	«Hardware». Componentes físicos del ordenador, máquinas.
004.4	«Software». Equipo lógico, componentes lógicos, programas.
004.6	Datos. Sistemas de gestión de bases de datos.
004.7	Comunicación informática. Redes de ordenadores.
005	Estudios teóricos de organización en general. Metodología. Análisis, síntesis, clasificación y taxonomía. Sistematización en general.
006	Normalización en general y normas.
006.9	Cronología.
006.91	Metrología. Pesos y medidas en general.
007	Teoría de la comunicación y del control en general. Cibernética.
008	Civilización, progreso y cultura en general.
009	Humanidades.
011	Bibliografías universales.
016	Bibliografías especiales.
017	Catálogos en general.
019	Catálogos especiales.
02	Biblioteconomía.
030	Enciclopedias y diccionarios enciclopédicos generales. Obras de referencia general. Estudios y crítica sobre esta clase de obras.
050	Publicaciones seriadas. Publicaciones periódicas. Estudios y críticas sobre estas obras.
06	Organizaciones. Asociaciones. Congresos. Exposiciones. Instituciones científicas.
069	Museos. Galerías. Exposiciones permanentes. Museología.
070	Periodismo. La Prensa (concepto, ética, administración y control, organización comercial y editorial).
08	Poligrafías en general. Colecciones. Homenajes.
087.5	Publicaciones infantiles en general. Libros infantiles y juveniles.
087.6	Obras populares. Literatura de quiosco. Cómics.
09	Manuscritos. Libros raros y curiosos. Bibliofilia.
1	Filosofía.
1(09)	Historia de la Filosofía.
11	Metafísica. Ontología. Cosmología.
122/129	Metafísica especial.
13	Filosofía de la mente y del espíritu. Metafísica de la vida espiritual.
133	Ciencias ocultas. Ocultismo.
133.52	Astrología.
14	Sistemas filosóficos.
141.72	Feminismo.
159.9	Psicología.
159.91	Psicofisiología.
159.97	Psicopatología.
159.98	Psicología aplicada (psicotecnología). Test de aptitud.
16	Lógica. Teoría del conocimiento. Epistemología. Metodología de la lógica.
17	Ética. Moral.
2	Religión.
21	Teología natural.
22	La Biblia.
222/224	Antiguo Testamento.
225	Nuevo Testamento.
23	Teología dogmática.
24	Teología moral. Teología práctica.
25	Teología pastoral.
26	Iglesia cristiana en general. Organización y liturgia.
268	Catequesis.
27	Historia general de la Iglesia cristiana. Órdenes y congregaciones religiosas.
28	Iglesias cristianas. Comunidades y sectas.
282	Iglesia Católica Romana.
283/289	Protestantismo (Iglesias católicas no romanas).
29	Religiones no cristianas. Mitología.
292	Antiguas religiones griega y romana. Mitología clásica.
294.3	Budismo.
296	Judaísmo.
297	El Islam.
3	Ciencias Sociales en general.
303	Métodos de las Ciencias Sociales (investigación, selección, recopilación de datos, análisis).
de	datos, análisis).
304.2	Cuestiones sociales y culturales. Política social.
308	Sociografía. Situación social. Geografía social.
31	Sociología. Estadística. Demografía.
311	Ciencia estadística. Teoría de la estadística.
312	Estadística de la población.
314	Demografía. Estudios de la población.
314.7	Migración. Inmigración y emigración.
316	Sociología.
316.6	Psicología social.
316.77	Sociología de la comunicación.
32	Política.
321	Formas de organización política.
322	Relaciones entre el Estado y la Iglesia. Política religiosa.
323.28	Persecución política. Terrorismo.
323.3	Grupos y estratos sociales. Clases. Profesiones.
324	Elecciones. Plebiscitos. Referéndum.
325	Migración. Emigración, colonización.
326	Esclavitud.
327	Política internacional. Relaciones internacionales. Política exterior.
328	Parlamentos y gobiernos.
329	Partidos políticos. Movimientos políticos.
33	Economía en general.
330	Ciencia económica. Economía política. Doctrinas económicas.
330.85	Doctrinas marxistas-leninistas.
330.86	Doctrinas no marxistas.
331	Trabajo.
331.4	Seguridad laboral. Higiene laboral.
332	Economía regional, territorial.
332.2	Política del suelo. Propiedad inmobiliaria. Bienes raíces.
334	Formas de organización y cooperación en la economía. Cooperativismo.
336	Finanzas. Hacienda pública.
336.7	Banca. Bolsa. Moneda. Crédito.
338	Política económica. Organización, planificación y producción.
338.4	Producción. Servicios según los sectores económicos (alimentación, sector terciario, turismo...).
339	Comercio en general. Relaciones económicas internacionales. Economía mundial.
339.1	Mercado.
339.17	Instituciones de la actividad comercial (ferias, mercados, intermediarios comerciales, etc.).
339.3	Comercio interior.
339.5	Comercio exterior.
339.9	Economía internacional. Divisas.
34	Derecho en general.
340	Derecho comparado. Ciencias auxiliares del Derecho.
340.12	Derecho natural. Filosofía y Teoría del Derecho.
340.143	Jurisprudencia.
341	Derecho internacional.
342	Derecho constitucional. Derecho político. Derecho público.
342.7	Derechos humanos.
342.9	Derecho administrativo.
343	Derecho penal.
343.6	Delitos contra la persona.
344	Derecho penal especial (militar, marítimo, aéreo).
347	Derecho civil. Derecho privado.
347.1	Derecho de las personas.
347.2	Derechos reales. Cosas y bienes. Derecho de cultivo. Agua. Derecho minero.
347.4	Contratos y obligaciones. Alquileres.
347.5	Responsabilidad civil.
347.6	Derecho de familia. Derecho de sucesiones. Herederos.
347.7	Derecho mercantil. Derecho marítimo. Derecho de autor.
347.8	Derecho aéreo. Derecho de la radiodifusión. Derecho del espacio.
347.9	Derecho procesal civil.
347.96	Personal judicial.
348	Derecho canónico. Derecho eclesiástico.
349	Derechos especiales. Ramas especiales del Derecho.
349.2	Derecho del trabajo.
349.3	Derecho social.
349.4	Derecho del suelo. Derecho agrario. Derecho urbanístico.
